PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
-0.43016981158674045,-0.04348868571665763,-0.053449155704784465,0.06990612733181427,0.2156545023164251,0.10223886878627264,-0.038836006780255054,-0.08189441264156985,-0.3371926053023326,-0.3465262507918027,-0.10708598134531759,-0.4520883750511993,0.26399248256329183,0.049139693825910866,-0.2677746989970338,0.02406774273617445,-0.12465855826728461,0.08486699553291467,-0.05587926982482981
-0.027736795146622317,0.2121894484808797,0.018619941847941544,-0.29184031925809023,0.10242280230699559,0.2489214971566817,0.21078466933812076,-0.3057166521105391,-0.12532950016333916,0.057181761728657104,-0.37568336630675403,-0.015885840045449587,-0.21378012681631822,0.2829389197099431,0.10486600074184528,0.053785196830302584,-0.3107037493358999,-0.14196132561563615,-0.4018339656938215
-0.18835906617763654,0.05444476106303777,0.030998673528593593,0.2683488532916171,0.5646662734870352,-0.3273237371898295,-0.19243189392394408,-0.17097916182682324,-0.0006151721512425293,0.10982034386704556,-0.24090941669824562,-0.15243530560380822,0.005286903636117741,0.08978126538147677,0.13219731233490306,0.3903303373408585,0.1313342639287181,0.17443063852508486,-0.006930107195423322
-0.07155465968311574,-0.10754209014742847,0.23202503123363308,0.039849045517942695,0.23054310642253864,-0.3855182843736526,-0.07609488387372494,-0.2919061647916685,-0.21737271850858667,0.06274273876504399,-0.24184579426703126,0.15526492263547417,0.29419301703600387,-0.23216736578917227,0.25872335107402855,0.1685056608005546,-0.024694337067652037,0.09733187671003746,-0.3743550299897184
-0.015467516488153789,0.09419240474362948,-0.5125855076891492,-0.2525286780717434,0.2618419673489351,-0.30346059893876953,0.10344166564729387,-0.09471948727831477,0.15192374899398828,-0.43797759579958334,-0.053262226442310726,0.06416948139745933,-0.058866486478619126,0.2999988479992991,0.05482010043696564,0.2130557608417197,0.11472587613877974,0.07464016601738241,0.06006570933090186
-0.11380118200050095,0.1311511771981317,0.05188568147320633,0.5234626491534484,0.015675839489217042,0.13987131680953996,0.23243851730943885,0.04011193345500059,0.35111743046269855,0.2618872330729699,0.010963352731291964,-0.04015843135927848,-0.262552442059075,-0.2802183895956752,-0.0972943717390966,0.322462962313773,0.056948177264220974,0.03572046799841691,-0.23609891420632478
-0.21452540898821998,0.3069239985140742,0.04933198022659043,-0.14826966328898344,-0.18921235349308949,-0.1847704188022258,0.21112614562767618,-0.27145630930063225,0.4984386874170488,-0.40102918758425843,-0.175425231062643,-0.11503373604038555,0.05559991689676693,-0.018600407168259395,-0.04593717332944752,-0.15007850496439865,-0.20567653218993065,0.08190532771875395,0.1508967381613217
0.06880243109418027,-0.11349688027098333,-0.2517482539746241,0.34294512410060746,0.19489733544820814,-0.11221084588726488,-0.3850661698370709,0.2530080537430291,0.22508531848788593,-0.129385328300982,0.1570277331910069,-0.09360497746570114,-0.08953726862616299,0.49393215100050436,-0.09781435399787898,-0.06389580881899569,0.09102332380200277,-0.03908389098648923,-0.26664037517276834
0.2758338547248943,-0.1372823103982792,-0.23717794988065152,0.054427156928193506,-0.45033217157638905,0.2973002402665938,0.20005289147650307,-0.5056939443955721,0.0036334683184491836,-0.07642855373521891,-0.2244992962036013,-0.10717515110060412,-0.021830148282436297,-0.14612839541328063,0.05708810698080542,0.005665931220462157,0.0364821330223153,-0.050197123321783305,0.0023961256742333135
0.27138386562596706,0.44011629886165493,-0.24801471006568782,0.1257146540898693,-0.28689774067089485,0.21171851550142332,-0.24772991125659563,-0.12213441727947662,0.2615290771053547,0.23176361429031458,-0.19571810613683177,-0.08766761075556934,0.04489263339973878,0.16045966817524102,0.13821554477244385,-0.14684543759697705,-0.09110035484893816,-0.2990323929394697,0.05225029180969381
